"Contact Details","Chi tiết liên hệ"
"Cannot Delete User","Cannot Delete User"
"Delete this user?","Delete this user?"
"This action cannot be undone. Are you sure you want to delete this user?","This action cannot be undone. Are you sure you want to delete this user?"
"Edit Team","Edit Team"
"Cannot Delete This Team","Cannot Delete This Team"
"Delete this team?","Delete this team?"
"This action cannot be undone. Are you sure you want to delete this team?","This action cannot be undone. Are you sure you want to delete this team?"
"Delete This Role?","Delete This Role?"
"This action cannot be undone. Are you sure you want to delete this role?","This action cannot be undone. Are you sure you want to delete this role?"
"Cannot Delete Role","Cannot Delete Role"
"Cannot Delete Customer","Cannot Delete Customer"
"Set as Inactive","Set as Inactive"
"Select Delete to permanently delete the user account and content. User's orders and quotes are still visible for the merchant. Select Set as Inactive to temporarily lock the user. The user’s content is still available to parent users.","Select Delete to permanently delete the user account and content. User's orders and quotes are still visible for the merchant. Select Set as Inactive to temporarily lock the user. The user’s content is still available to parent users."
"User with this email already exists in the system. Enter a different email address to continue. If you want to use your current account as an administrator account, please contact the seller.","User with this email already exists in the system. Enter a different email address to continue. If you want to use your current account as an administrator account, please contact the seller."
"Manage Companies","Manage Companies"
"Company Configuration Section","Company Configuration Section"
"Enable Company","Enable Company"
"Company Configuration","Company Configuration"
"General","Chung"
"Allow Company Registration from the Storefront","Allow Company Registration from the Storefront"
"Email Options - Company Registration","Email Options - Company Registration"
"Company Registration Email Recipient","Company Registration Email Recipient"
"Send Company Registration Email Copy To","Send Company Registration Email Copy To"
"Comma-separated","Ngăn cách bởi dấu phẩy"
"Send Email Copy Method","Send Email Copy Method"
"Default Company Registration Email","Default Company Registration Email"
"Customer-Related Emails","Customer-Related Emails"
"Default 'Sales Rep Assigned' Email","Default 'Sales Rep Assigned' Email"
"This email is sent to the company's Sales Rep and the Company Admin.","This email is sent to the company's Sales Rep and the Company Admin."
"Default 'Assign Company to Customer' Email","Default 'Assign Company to Customer' Email"
"This email is sent to the customer only.","This email is sent to the customer only."
"Default 'Assign Company Admin' Email","Default 'Assign Company Admin' Email"
"Default 'Company Admin Inactive' Email","Default 'Company Admin Inactive' Email"
"Default 'Company Admin Changed To Member' Email","Default 'Company Admin Changed To Member' Email"
"Default 'Customer Status Active' Email","Default 'Customer Status Active' Email"
"Default 'Customer Status Inactive' Email","Default 'Customer Status Inactive' Email"
"Company Status Change","Company Status Change"
"Send Company Status Change Email Copy To","Send Company Status Change Email Copy To"
"Comma-separated. The recipient(s) will get a copy of an email which is by default sent to the Company Admin only.","Comma-separated. The recipient(s) will get a copy of an email which is by default sent to the Company Admin only."
"Default 'Company Status Change To Active 1"" Email","Default 'Company Status Change To Active 1"" Email"
"This email is sent when company status changes from Pending Approval to Active.","This email is sent when company status changes from Pending Approval to Active."
"Default 'Company Status Change To Active 2"" Email","Default 'Company Status Change To Active 2"" Email"
"This email is sent when company status changes from Rejected or Blocked to Active.","This email is sent when company status changes from Rejected or Blocked to Active."
"Default 'Company Status Change To Rejected"" Email","Default 'Company Status Change To Rejected"" Email"
"This email is sent when company status changes to Rejected.","This email is sent when company status changes to Rejected."
"Default 'Company Status Change To Blocked"" Email","Default 'Company Status Change To Blocked"" Email"
"This email is sent when company status changes Blocked.","This email is sent when company status changes Blocked."
"Default 'Company Status Change To Pending Approval"" Email","Default 'Company Status Change To Pending Approval"" Email"
"This email is sent when company status changes to Pending Approval.","This email is sent when company status changes to Pending Approval."
"All","Tất Cả"
"Account Information (View)","Account Information (View)"
"Legal Address (View)","Legal Address (View)"
"Contacts (View)","Contacts (View)"
"Company User Management","Company User Management"
"View roles and permissions","View roles and permissions"
"Manage roles and permissions","Manage roles and permissions"
"View users and teams","View users and teams"
"Manage users and teams","Manage users and teams"
"Sales","Doanh số"
"Allow Checkout","Allow Checkout"
"Use Pay On Account method","Use Pay On Account method"
"View orders","View orders"
"View orders of subordinate users","View orders of subordinate users"
"Are you sure you want to set the selected companies as active?","Are you sure you want to set the selected companies as active?"
"Set a Company as Active","Set a Company as Active"
"Set Active","Set Active"
"Are you sure you want to block the selected companies?","Are you sure you want to block the selected companies?"
"Block a Company","Block a Company"
"Block","Khối"
"This action cannot be undone. Are you sure you want to delete the selected companies? After the company is deleted, all the company members will be set to Inactive.","This action cannot be undone. Are you sure you want to delete the selected companies? After the company is deleted, all the company members will be set to Inactive."
"ID","ID"
"Reseller ID","Reseller ID"
"Comment","Bình luận"
"ZIP","SỐ ZIP"
"Customer Group","Nhóm khách hàng"
"Company Admin","Company Admin"
"Gender","Giới tính"
"Set Inactive","Set Inactive"
"Customer Type","Customer Type"
"Are you sure you want to temporarily disable this company account? If you confirm, login for all company members will be blocked.","Are you sure you want to temporarily disable this company account? If you confirm, login for all company members will be blocked."
"Are you sure you want to set this company to active? If you confirm, the company members will be able to operate within their company account.>","Are you sure you want to set this company to active? If you confirm, the company members will be able to operate within their company account.>"
"Are you sure you want to reject this company? If you confirm, login for all company members will be blocked.","Are you sure you want to reject this company? If you confirm, login for all company members will be blocked."
"Please specify the reason","Please specify the reason"
"The reason will appear in the 'Rejected' email sent to the Company Admin. It will also be saved and displayed in Admin Panel (in the company profile).","The reason will appear in the 'Rejected' email sent to the Company Admin. It will also be saved and displayed in Admin Panel (in the company profile)."
"Are you sure you want to block this company? If you proceed, the company members will not be able to place orders.","Are you sure you want to block this company? If you proceed, the company members will not be able to place orders."
"Reason for Rejection","Reason for Rejection"
"VAT / TAX ID","VAT / TAX ID"
"Website","Trang web"
"Prefix","Tiền tố"
"First Name","Tên"
"Middle Name/Initial","Tên đệm/ban đầu"
"Last Name","Họ"
"Suffix","Hậu tố"
"Send Welcome Email From","Send Welcome Email From"
"Advanced Settings","Cài đặt nâng cao"
"Change Customer Group?","Change Customer Group?"
"This action will change the customer group for all members of this company. Would you like to proceed?","This action will change the customer group for all members of this company. Would you like to proceed?"
"The user <%- username %> is the company admin and cannot be set to inactive. You must set another user as the company admin first.","The user <%- username %> is the company admin and cannot be set to inactive. You must set another user as the company admin first."
"Customer Active","Customer Active"
"This customer is a user of a different company. If you proceed, the customer will be unlinked from the current company and linked to the selected company.","This customer is a user of a different company. If you proceed, the customer will be unlinked from the current company and linked to the selected company."
"Change Company?","Change Company?"
"Associate to Company","Associate to Company"
"My Orders","Đơn đặt hàng của tôi"
"Create New Customer","Tạo ra khách hàng mới"
"Create New Company Account","Create New Company Account"
"Name","Tên"
"Role","Quyền hạn"
"Team","Team"
"Users","Người dùng"
"Reimburse Balance","Reimburse Balance"
"Are you sure you want to cancel this order? The order amount will not be reverted to %1 because the company is not active.","Are you sure you want to cancel this order? The order amount will not be reverted to %1 because the company is not active."
"Are you sure you want to cancel this order? The order amount will not be reverted to %1 because the company associated with this customer does not exist.","Are you sure you want to cancel this order? The order amount will not be reverted to %1 because the company associated with this customer does not exist."
"(Available Credit: %1)","(Available Credit: %1)"
"Page not found.","Không tìm thấy trang."
"Something went wrong. Please try again later.","Something went wrong. Please try again later."
"History record no longer exists.","History record no longer exists."
"Unable to retrieve currency rates at this moment. Please try again later or contact store administrator.","Unable to retrieve currency rates at this moment. Please try again later or contact store administrator."
"A total of %1 record(s) were updated.","Tổng cộng %1 bản ghi đã được cập nhật."
"Unable to convert company credit. Please try again later or contact store administrator.","Unable to convert company credit. Please try again later or contact store administrator."
"Company Credit","Company Credit"
"Order Payment should be provided","Order Payment should be provided"
"Order is canceled. We reverted %1 to the company credit.","Order is canceled. We reverted %1 to the company credit."
"Order is canceled. The order amount is not reverted to the company credit.","Order is canceled. The order amount is not reverted to the company credit."
"Order is cancelled. The order amount is not reverted to the company credit because the company to which this customer belongs does not exist.","Order is cancelled. The order amount is not reverted to the company credit because the company to which this customer belongs does not exist."
"unavailable.","unavailable."
"We can't save the credit memo because the company associated with this customer does not exist.","We can't save the credit memo because the company associated with this customer does not exist."
"We can't save the credit memo because the company associated with customer is not active.","We can't save the credit memo because the company associated with customer is not active."
"Yes","Có"
"No","Không"
"The requested Payment Method is not available.","Phương thức thanh toán được yêu cầu là không có sẵn."
"Payment On Account cannot be used for this order because your order amount exceeds your credit amount.","Payment On Account cannot be used for this order because your order amount exceeds your credit amount."
"Cannot process the request. Please check the operation type and try again.","Cannot process the request. Please check the operation type and try again."
"Invalid attribute value. Row ID: %fieldName = %fieldValue.","Invalid attribute value. Row ID: %fieldName = %fieldValue."
"""%fieldName"" is required. Enter and try again.","""%fieldName"" is required. Enter and try again."
"The selected currency is not available. Please select a different currency.","The selected currency is not available. Please select a different currency."
"Could not update history","Could not update history"
"Requested company is not found. Row ID: %fieldName = %fieldValue.","Requested company is not found. Row ID: %fieldName = %fieldValue."
"Cannot delete credit limit with id %1","Cannot delete credit limit with id %1"
"Allocated","Allocated"
"Updated","Đã cập nhật"
"Purchased","Đã mua"
"Reimbursed","Reimbursed"
"Refunded","Đã hoàn trả"
"Reverted","Trở lại"
"Could not save history","Could not save history"
"Cannot delete history with id %1","Cannot delete history with id %1"
"Missing parameters to complete action request","Missing parameters to complete action request"
"Company id: %1 (%2)","Company id: %1 (%2)"
"Error during reimburse: %1","Error during reimburse: %1"
"No such entity with %fieldName = %fieldValue","Không có thực thể như vậy với %fieldName = %fieldValue"
"Could not save company credit limit","Could not save company credit limit"
"Invalid value of ""%value"" provided for the %fieldName field.","Không hợp lệ giá trị % giá trị"""" cung cấp cho các trường %fieldName."
"Please enter a valid %1/%2 currency rate.","Please enter a valid %1/%2 currency rate."
"Invoice created for %1","Invoice created for %1"
"The selected credit currency is not valid.
Customers will not be able to place orders until you update the credit currency.","The selected credit currency is not valid.
Customers will not be able to place orders until you update the credit currency."
"Store Credit","Tiền trong store"
"Refund to Company Credit","Refund to Company Credit"
"An invoice for partial quantities cannot be issued for this order. To continue, change the specified quantity to the full quantity.","An invoice for partial quantities cannot be issued for this order. To continue, change the specified quantity to the full quantity."
"We refunded %1 online.","Chúng tôi hoàn lại %1 trực tuyến."
"We refunded %1 offline.","Chúng tôi hoàn lại %1 ngoại tuyến."
"We refunded %1 to the company credit.","We refunded %1 to the company credit."
"Exception message.","Exception message."
"Exception Message","Exception Message"
"No such entity","Không có thực thể như vậy"
"Edit","Chỉnh sửa"
"%1 made an update. %2 can exceed the Credit Limit.","%1 made an update. %2 can exceed the Credit Limit."
"%1 made an update. %2 cannot exceed the Credit Limit.","%1 made an update. %2 cannot exceed the Credit Limit."
"Order # %1","Đơn hàng #%1"
"%1 changed the credit currency from %2 to %3 at the conversion rate of %2/%3 %4.","%1 changed the credit currency from %2 to %3 at the conversion rate of %2/%3 %4."
"Outstanding Balance:","Outstanding Balance:"
"Available Credit:","Available Credit:"
"Credit Limit:","Credit Limit:"
"Custom Reference Number","Custom Reference Number"
"%1 is disabled when the available credit is less than the Order Grand Total.","%1 is disabled when the available credit is less than the Order Grand Total."
"Charged off the company credit: %1","Charged off the company credit: %1"
"Custom Reference Number: %1","Custom Reference Number: %1"
"The base currency for %1 has been updated. The currency %2 is still defined as the credit currency for one or more companies. Use the following <a href=""%3"" id=""update-credit-link"">link</a> to perform a bulk operation that updates the credit currency for those companies.","The base currency for %1 has been updated. The currency %2 is still defined as the credit currency for one or more companies. Use the following <a href=""%3"" id=""update-credit-link"">link</a> to perform a bulk operation that updates the credit currency for those companies."
"%1 has exceeded its credit limit (%2) by %3. Its outstanding balance, including this order, currently totals %4.","%1 has exceeded its credit limit (%2) by %3. Its outstanding balance, including this order, currently totals %4."
"The credit limit for %1 is %2. Its outstanding balance, including this order, currently totals %3","The credit limit for %1 is %2. Its outstanding balance, including this order, currently totals %3"
"Outstanding Balance","Outstanding Balance"
"Available Credit","Available Credit"
"Credit Limit","Credit Limit"
"Charged off the company credit","Charged off the company credit"
"The Company credit on all selected companies will be converted using the rate below. This operation cannot be undone.","The Company credit on all selected companies will be converted using the rate below. This operation cannot be undone."
"Credit allocated to %company_name","Credit allocated to %company_name"
"Dear %name,","Dear %name,"
"Your company has been allocated a credit of %available_credit.
You can now use the Payment On Account method to place you orders.","Your company has been allocated a credit of %available_credit.
You can now use the Payment On Account method to place you orders."
"The history of your credit operations is available on the Company Credit page.","The history of your credit operations is available on the Company Credit page."
"%company_name account reimbursed","%company_name account reimbursed"
"Your company credit account has been reimbursed by %reimbursed_amount.","Your company credit account has been reimbursed by %reimbursed_amount."
"If you have any questions, please contact the seller.","If you have any questions, please contact the seller."
"%company_name credit limit updated","%company_name credit limit updated"
"Your credit limit has been updated and is now %available_credit.
Your outstanding balance currently totals %outstanding_balance. You are %exceed_limit to exceed the credit limit.","Your credit limit has been updated and is now %available_credit.
Your outstanding balance currently totals %outstanding_balance. You are %exceed_limit to exceed the credit limit."
"Order %order_id refunded","Order %order_id refunded"
"A refund of %refunded_amount has been issued on order #%order_id. This amount has been applied to the company credit.","A refund of %refunded_amount has been issued on order #%order_id. This amount has been applied to the company credit."
"Order %order_id reverted","Order %order_id reverted"
"Your order #%order_id has been cancelled. The order amount reverted to the company credit.","Your order #%order_id has been cancelled. The order amount reverted to the company credit."
"Available Credit ","Available Credit "
"The Payment on Account method is not available in the selected currency. Please contact the seller.","The Payment on Account method is not available in the selected currency. Please contact the seller."
"Company credit account will be charged: ","Company credit account will be charged: "
"Place Order","Đặt hàng"
"Cancel the Order","Cancel the Order"
"This is a required field.","Đây là trường bắt buộc."
"Please enter a valid number in this field.","Vui lòng nhập một số hợp lệ trong lĩnh vực này."
"{oldCur}/{newCur} Rate","{oldCur}/{newCur} Rate"
"Reimburse","Reimburse"
"Save","Lưu lại"
"Please use only letters (a-z or A-Z), numbers (0-9), dash (-) or slash (/) in this field.","Please use only letters (a-z or A-Z), numbers (0-9), dash (-) or slash (/) in this field."
"The credit limit for %s is %s. It will be exceeded by %s with this order.","The credit limit for %s is %s. It will be exceeded by %s with this order."
"Payment on Account","Payment on Account"
"Enabled","Cho phép"
"New Order Status","Trạng thái đơn hàng mới"
"Sort Order","Thứ tự sắp xếp"
"Title","Tiêu đề"
"Payment from Applicable Countries","Thanh Toán từ Các Nước Được Áp Dụng"
"Payment from Specific Countries","Thanh Toán từ Các Nước Cụ Thể"
"Minimum Order Total","Giá Trị Đơn Hàng Tối Thiểu"
"Maximum Order Total","Giá Trị Đơn Hàng Tối Đa"
"Company Credit Change Email Sender","Company Credit Change Email Sender"
"Send Company Credit Change Email Copy To","Send Company Credit Change Email Copy To"
"Comma-separated","Ngăn cách bởi dấu phẩy"
"Send Email Copy Method","Send Email Copy Method"
"Allocated Email Template","Allocated Email Template"
"This email is sent to the Company Admin.","This email is sent to the Company Admin."
"Updated Email Template","Updated Email Template"
"Reimbursed Email Template","Reimbursed Email Template"
"Refunded Email Template","Refunded Email Template"
"Reverted Email Template","Reverted Email Template"
"View","Hiển thị"
"Credit Currency","Credit Currency"
"Allow To Exceed Credit Limit","Allow To Exceed Credit Limit"
"Reason For Change","Reason For Change"
"Amount","Số lượng"
"
Limit one PO number per reimburse transaction
","
Limit one PO number per reimburse transaction
"
"
Maximum 255 characters are allowed.
","
Maximum 255 characters are allowed.
"
"Comment","Bình luận"
"Rate","Đánh giá"
"Convert Credit","Convert Credit"
"Date","Ngày"
"Operation","Hoạt động"
"Updated By","Updated By"
"You will be charged for","You will be charged for"
"Order Total","Tổng đơn đặt hàng"
"All Payment Methods","All Payment Methods"
"Selected Payment Methods","Selected Payment Methods"
"B2B Payment Methods","B2B Payment Methods"
"All Enabled Payment Methods","All Enabled Payment Methods"
" (disabled)"," (disabled)"
"Payment Information","Thông tin thanh toán"
"Available Payment Methods","Available Payment Methods"
"This company has no payment methods. Please contact store administrator.","This company has no payment methods. Please contact store administrator."
"Default B2B Payment Methods","Default B2B Payment Methods"
"Applicable Payment Methods","Applicable Payment Methods"
"Payment Methods","Phương thức thanh toán"
"By default, the selected payment methods are available for all new companies. If your Magento site has multiple websites, on a specific website the buyer will be able to pay with the methods available for that website only.","By default, the selected payment methods are available for all new companies. If your Magento site has multiple websites, on a specific website the buyer will be able to pay with the methods available for that website only."
"Payment Information (View)","Payment Information (View)"
"Use config settings","Use config settings"
"Default Config","Cấu hình mặc định"
"Save Config","Lưu Config"
"[GLOBAL]","[Toàn hệ thống]"
"[WEBSITE]","[WEBSITE]"
"[STORE VIEW]","[Chế độ xem cửa hàng]"
"Use system value","Sử dụng giá trị hệ thống"
"Use Default","Sử dụng mặc định"
"Use Website","Sử dụng Website"
"Add","Thêm"
"Delete File","Xoá tập tin"
"Search String","Chuỗi tìm kiếm"
"Design Theme","Thiết kế chủ đề"
"Add \Exception","Thêm\Bớt"
"-- No Theme --","--Không có chủ đề--"
"Enable","Kích hoạt"
"Disable","Vô hiệu hóa"
"Configuration","Cấu hình"
"The class for ""%1"" type wasn't declared. Enter the class and try again.","The class for ""%1"" type wasn't declared. Enter the class and try again."
"%1 should implement %2","%1 nên triển khai %2"
"The value you set has already been locked. To change the value, use the --%1 option.","Giá trị bạn đặt đã bị khóa. Để thay đổi giá trị, sử dụng --%1 option."
"%1","%1"
"System","Hệ thống"
"You saved the configuration.","Bạn đã lưu lại cấu hình."
"Something went wrong while saving this configuration:","Một cái gì đó đã đi sai trong khi lưu điều kiện này:"
"Page not found.","Không tìm thấy trang."
"Please specify the admin custom URL.","Xin vui lòng ghi rõ quản trị viên tuỳ chỉnh URL."
"Invalid %1. %2","Không hợp lện %1. %2"
"Value must be a URL or one of placeholders: %1","Giá trị phải là một URL hoặc một trong các phần giữ chỗ: %1"
"Specify a URL or path that starts with placeholder(s): %1, and ends with ""/"".","Chỉ định một URL hoặc đường dẫn bắt đầu với phần giữ chỗ: %1, và kết thúc bằng ""/""."
"%1 An empty value is allowed as well.","%1 một giá trị rỗng cũng được cho phép."
"Specify a fully qualified URL.","Chỉ định một URL đầy đủ."
"Selected allowed currency ""%1"" is not available in installed currencies.","Lựa chọn tiền tệ được cho phép ""%1"" không có sẵn trong đơn vị tiền tệ được cài đặt."
"Default display currency ""%1"" is not available in allowed currencies.","Tiền tệ Hiển thị mặc định ""%1"" không có sẵn trong đơn vị tiền tệ được cho phép."
"Sorry, we haven't installed the base currency you selected.","Xin lỗi, chúng tôi đã không cài đặt các loại tiền tệ cơ bản bạn đã chọn."
"We can't save the Cron expression.","Chúng tôi không thể lưu các quy tắc cronjob."
"Sorry, we haven't installed the default display currency you selected.","Xin lỗi, chúng tôi đã không cài đặt mặc định Hiển thị đơn vị tiền tệ bạn chọn."
"Sorry, the default display currency you selected is not available in allowed currencies.","Xin lỗi, Hiển thị mặc định tiền tệ bạn chọn không có sẵn trong đơn vị tiền tệ được cho phép."
"The ""%1"" email address is incorrect. Verify the email address and try again.","The ""%1"" email address is incorrect. Verify the email address and try again."
"The sender name ""%1"" is not valid. Please use only visible characters and spaces.","Tên người gửi ""%1"" không hợp lệ. Xin vui lòng chỉ sử dụng các ký tự và dấu cách có thể nhìn thấy."
"Maximum sender name length is 255. Please correct your settings.","Độ dài tên người gửi tối đa là 255. Xin vui lòng sửa các cài đặt của bạn."
"The file you're uploading exceeds the server size limit of %1 kilobytes.","Các tập tin bạn tải lên vượt quá giới hạn kích thước của máy chủ của %1 kilobyte."
"The base directory to upload file is not specified.","Thư mục cơ bản để tải lên tập tin không được chỉ định."
"The specified image adapter cannot be used because of: %1","Bộ chuyển đổi hình ảnh được chỉ định không thể được sử dụng vì: %1"
"Default scope","Phạm vi mặc định"
"Base currency","Tiền tệ cơ sở"
"Display default currency","Hiển thị tiền tệ mặc định"
"website(%1) scope","phạm vi trang web (%1)"
"store(%1) scope","phạm vi cửa hàng (%1)"
"Currency ""%1"" is used as %2 in %3.","Đơn vị tiền tệ ""%1"" được sử dụng như là %2 ở %3."
"The time zone is incorrect. Verify the time zone and try again.","The time zone is incorrect. Verify the time zone and try again."
"The ""%1"" file doesn't exist.","The ""%1"" file doesn't exist."
"The ""%1"" path doesn't exist. Verify and try again.","The ""%1"" path doesn't exist. Verify and try again."
"Always (during development)","Luôn luôn (trong quá trình phát triển)"
"Only Once (version upgrade)","Chỉ một lần (Phiên bản nâng cấp)"
"Never (production)","Không bao giờ (sản xuất)"
"Bcc","Bcc"
"Separate Email","Email riêng biệt"
"%1 (Default)","%1 (mặc định)"
"title","tiêu đề"
"No","Không"
"Optional","Tùy chọn"
"Required","Bắt buộc"
"Website","Trang web"
"Store","Cửa hàng"
"Store View","Xem cửa hàng"
"HTTP (unsecure)","HTTP (không đảm bảo)"
"HTTPS (SSL)","HTTPS (SSL)"
"Yes (302 Found)","Có (302 tìm thấy)"
"Yes (301 Moved Permanently)","Có (301 di chuyển vĩnh viễn)"
"Yes","Có"
"Specified","Quy định"
"Visible section not found.","Visible section not found."
"Config form fieldset clone model required to be able to clone fields","Cấu hình dạng mẫu bộ trường vô tính cần thiết để có thể sao chép các trường vô tính"
"%1: Instance of %2 is expected, got %3 instead","%1: thực thể của %2 được mong đợi, lấy %3 thay vào đó"
"'The XML in file ""%1"" is invalid:' . ""\n%2\nVerify the XML and try again.""","'The XML in file ""%1"" is invalid:' . ""\n%2\nVerify the XML and try again."""
".","."
"'There is no defined type ' .","'Đó là kiểu không được xác định '."
"'Object is not instance of ' .","' Đối tượng không phải là trường hợp của'."
"Filesystem is not writable.","Không thể ghi vào tập tin hệ thống."
"Some error","Có lỗi xảy ra"
"Some message","Một số tin nhắn"
"You cannot run this command because the Magento application is not installed.","You cannot run this command because the Magento application is not installed."
"This command is unavailable right now.","Lệnh này không có sẵn bây giờ."
"The ""test/test/test"" path does not exists","Đường dẫn ""test/test/test"" không tồn tại"
"error message","thông báo lỗi"
"The  ""%1"" path doesn't exist. Verify and try again.","The  ""%1"" path doesn't exist. Verify and try again."
"some_label","some_label"
"some_comment","some_comment"
"some prefix","một số tiền tố"
"element label","nhãn hiệu nguyên tố"
"element hint","yếu tố gợi ý"
"element comment","nguyên tố bình luận"
"element tooltip","yếu tố tooltip"
"test","thử nghiệm"
"test2","test2"
"Action","Action"
"Add after","Thêm sau"
"Delete","Xóa bỏ"
"Current Configuration Scope:","Phạm vi cấu hình hiện tại:"
"Stores","Cửa hàng"
"Group Label","Nhãn hiệu nhóm"
"Some Label","Một số nhãn hiệu"
"Tab Label","Tab nhãn hiệu"
"Allow everything","Allow everything"
"Magento Admin","Magento Admin"
"Dashboard","Bảng điều khiển"
"Manage Stores","Quản lý cửa hàng"
"Field 2","Trường 2"
"Field 3","Trường 3"
"Field 3.1","Trường 3.1"
"Field 3.1.1","Trường 3.1.1"
"Field 4","Trường 4"
"Advanced Section","Phần Nâng cao"
"Advanced Admin Section","Phần quản trị nâng cao"
"Design Section","Phần Thiết kế"
"General Section","Phần Tổng hợp"
"System Section","Phần Hệ thống"
"Currency Setup Section","Phần thiết lập tiền tệ"
"Developer Section","Phần Nhà phát triển"
"Web Section","Phần web"
"Store Email Addresses Section","Phần địa chỉ Email Cửa hàng"
"Email to a Friend","Email cho bạn bè"
"Product with assigned super attributes should not have specified ""%1"" value","Product with assigned super attributes should not have specified ""%1"" value"
"Add configurable attributes to the current Attribute Set (""%1"")","Thêm thuộc tính cấu hình các hiện tại thuộc tính thiết lập (""%1"")"
"Add configurable attributes to the new Attribute Set based on current","Thêm các thuộc tính cấu hình thiết lập thuộc tính mới dựa trên hiện tại"
"New attribute set name","đặt tên thuộc tính mới"
"Add configurable attributes to the existing Attribute Set","Thêm thuộc tính cấu hình bộ thuộc tính hiện có"
"Choose existing Attribute Set","Chọn bộ thuộc tính hiện có"
"Save","Lưu lại"
"Save & New","Lưu & mới"
"Save & Duplicate","Lưu & trùng lặp"
"Save & Close","Lưu & đóng"
"Configurations","Cấu hình"
"Attribute Values","Giá trị thuộc tính"
"Bulk Images &amp; Price","Hàng loạt hình ảnh &amp; giá"
"Create New Attribute","Tạo mới thuộc tính"
"Select Attributes","Chọn thuộc tính"
"Summary","Tóm tắt"
"Choose an Option...","Chọn một tùy chọn..."
"The value of attribute """"%1"""" must be unique","The value of attribute """"%1"""" must be unique"
"This attribute is used in configurable products.","Thuộc tính này được sử dụng trong sản phẩm cấu hình."
"The product is already attached.","The product is already attached."
"The parent product doesn't have configurable product options.","The parent product doesn't have configurable product options."
"The child product doesn't have the ""%1"" attribute value. Verify the value and try again.","The child product doesn't have the ""%1"" attribute value. Verify the value and try again."
"The product with the ""%1"" SKU isn't a configurable product.","The product with the ""%1"" SKU isn't a configurable product."
"The option that was requested doesn't exist. Verify the entity and try again.","The option that was requested doesn't exist. Verify the entity and try again."
"The ""%1"" entity that was requested doesn't exist. Verify the entity and try again.","The ""%1"" entity that was requested doesn't exist. Verify the entity and try again."
"The variations from the ""%1"" product can't be deleted.","The variations from the ""%1"" product can't be deleted."
"The option with ""%1"" ID can't be deleted.","The option with ""%1"" ID can't be deleted."
"Option with id ""%1"" not found","Các tùy chọn với id ""%1"" không tìm thấy"
"An error occurred while saving the option. Please try to save again.","An error occurred while saving the option. Please try to save again."
"This is implemented for the ""%1"" configurable product only.","This is implemented for the ""%1"" configurable product only."
"Option attribute ID is not specified.","Tùy chọn ID thuộc tính không được chỉ định."
"Option label is not specified.","Lựa chọn nhãn hiệu không được chỉ định."
"Option values are not specified.","Giá trị tùy chọn không được chỉ định."
"Value index is not specified for an option.","Chỉ số giá trị không được chỉ định cho một lựa chọn."
"Product with id ""%1"" does not contain required attribute ""%2"".","Sản phẩm với id ""%1"" không chứa thuộc tính yêu cầu ""%2""."
"Products ""%1"" and ""%2"" have the same set of attribute values.","Sản phẩm ""%1"" và %2 có các giá trị thuộc tính giống nhau."
"You can't add the item to shopping cart.","Bạn không thể thêm sản phẩm vào giỏ mua hàng."
"You need to choose options for your item.","Bạn cần chọn tùy chọn cho sản phẩm của bạn."
"Some product variations fields are not valid.","Một số lĩnh vực biến thể sản phẩm là không hợp lệ."
"Contribution must have attributes specified. Enter attributes and try again.","Contribution must have attributes specified. Enter attributes and try again."
"Type %1 is not an instance of %2","Loại %1 không phải là một trường hợp của %2"
"Choose Affected Attribute Set","Chọn bộ thuộc tính bị ảnh hưởng"
"Add configurable attributes to the current Attribute Set","Thêm thuộc tính cấu hình vào bộ thuộc tính hiện tại"
"Confirm","Xác nhận"
"New Attribute Set Name","đặt Tên thuộc tính mới"
"Select Associated Product","Lựa chọn sản phẩm liên quan"
"Done","Đã thực hiện"
"Choose a new product to delete and replace the current product configuration.","Chọn một sản phẩm mới để xóa bỏ và thay thế các cấu hình sản phẩm hiện tại."
"For better results, add attributes and attribute values to your products.","Cho kết quả tốt hơn, thêm thuộc tính và giá trị thuộc tính sản phẩm của bạn."
"Configurable products allow customers to choose options (Ex: shirt color). You need to create a simple product for each configuration (Ex: a product for each color).","Cấu hình sản phẩm cho phép khách hàng lựa chọn (ví dụ: màu áo sơ mi). Bạn cần phải tạo ra một sản phẩm đơn giản cho mỗi cấu hình (ví dụ: một sản phẩm cho mỗi màu)."
"Configurations cannot be created for a standard product with downloadable files. To create configurations, first remove all downloadable files.","Cấu hình không thể được tạo ra cho một sản phẩm tiêu chuẩn với các tập tin tải về. Để tạo ra cấu hình, đầu tiên xóa tất cả các tập tin tải về."
"Add Products Manually","Thêm sản phẩm bằng cách thủ công"
"Create Configurations","Tạo cấu hình"
"Current Variations","Hiện tại các biến thể"
"Image","Hình ảnh"
"Name","Tên"
"SKU","MÃ SẢN PHẨM"
"Price","Giá"
"Quantity","Số lượng"
"Weight","Trọng lượng"
"Status","Trạng thái"
"Attributes","Thuộc tính"
"Actions","Thao tác"
"Custom options with price type ""percent"" is not available for configurable product.","Các tùy chọn tùy chỉnh với loại giá ""phần trăm"" là không có sẵn cho cấu hình sản phẩm."
"This group contains attributes used in configurable products. Please move these attributes to another group and try again.","Nhóm này chứa các thuộc tính được sử dụng trong cấu hình sản phẩm. Xin vui lòng di chuyển các thuộc tính cho nhóm khác và thử lại."
